departure_time,file_name,journey_pattern_ref,journey_ticket_machine_code,line_ref,operator_ref,service_ref,vehicle_journey_code
17:55:00,404-21-404-_-y05-2_1.xml,JP7,48,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ199
18:10:00,404-21-404-_-y05-2_1.xml,JP3,45,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ200
18:25:00,404-21-404-_-y05-2_1.xml,JP7,50,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ201
18:40:00,404-21-404-_-y05-2_1.xml,JP3,47,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ202
18:55:00,404-21-404-_-y05-2_1.xml,JP16,52,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ203
19:10:00,404-21-404-_-y05-2_1.xml,JP14,49,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ204
09:24:00,tfl_21-404-_-y05-6_qyPH39c.xml,JP_21-404-_-y05-6-5-I-1,14,ABLO:UZ000ABLO:404:404,OId_CX,UZ000ABLO:404,VJ_21-404-_-y05-6-1-MFSc
09:54:00,tfl_21-404-_-y05-6_qyPH39c.xml,JP_21-404-_-y05-6-5-I-1,16,ABLO:UZ000ABLO:404:404,OId_CX,UZ000ABLO:404,VJ_21-404-_-y05-6-2-MFSc
10:24:00,tfl_21-404-_-y05-6_qyPH39c.xml,JP_21-404-_-y05-6-5-I-1,18,ABLO:UZ000ABLO:404:404,OId_CX,UZ000ABLO:404,VJ_21-404-_-y05-6-3-MFSc
10:54:00,tfl_21-404-_-y05-6_qyPH39c.xml,JP_21-404-_-y05-6-5-I-1,20,ABLO:UZ000ABLO:404:404,OId_CX,UZ000ABLO:404,VJ_21-404-_-y05-6-4-MFSc
11:24:00,tfl_21-404-_-y05-6_qyPH39c.xml,JP_21-404-_-y05-6-5-I-1,22,ABLO:UZ000ABLO:404:404,OId_CX,UZ000ABLO:404,VJ_21-404-_-y05-6-5-MFSc
11:54:00,tfl_21-404-_-y05-6_qyPH39c.xml,JP_21-404-_-y05-6-5-I-1,24,ABLO:UZ000ABLO:404:404,OId_CX,UZ000ABLO:404,VJ_21-404-_-y05-6-6-MFSc
12:24:00,tfl_21-404-_-y05-6_qyPH39c.xml,JP_21-404-_-y05-6-5-I-1,26,ABLO:UZ000ABLO:404:404,OId_CX,UZ000ABLO:404,VJ_21-404-_-y05-6-7-MFSc
12:54:00,tfl_21-404-_-y05-6_qyPH39c.xml,JP_21-404-_-y05-6-5-I-1,28,ABLO:UZ000ABLO:404:404,OId_CX,UZ000ABLO:404,VJ_21-404-_-y05-6-8-MFSc
